Trait	Marker	Chr	Pos	df	F	p	add_effect	add_F	add_p	dom_effect	dom_F	dom_p	errordf	MarkerR2	Genetic Var	Residual Var	-2LnLikelihood
sim	29	1	3026161	2	0.12311	0.8843	-1.4327E0	0.23308	0.63036	1.46419	0.20405	0.6525	100	0.00252	35.77882	31.18595	676.41697
sim	30	1	3082721	2	0.16033	0.85209	-2.2437E0	0.31859	0.57379	2.05382	0.25858	0.61227	100	0.00328	35.77882	31.18595	676.41697
sim	31	1	3139282	2	0.05134	0.94998	0.51426	0.10214	0.74997	0.27695	0.0248	0.8752	100	0.00105	35.77882	31.18595	676.41697
sim	32	1	3195842	2	2.70075	0.07231	2.30971	2.14899	0.14597	3.98823	5.18629	0.02501	100	0.05533	35.77882	31.18595	676.41697
sim	33	1	3252403	1	0.00491	0.9443	NaN	NaN	NaN	NaN	NaN	NaN	100	5.0252E-5	35.77882	31.18595	676.41697
sim	34	1	3308963	1	3.40126	0.06823	NaN	NaN	NaN	NaN	NaN	NaN	100	0.03484	35.77882	31.18595	676.41697
sim	35	1	3365524	1	0.15676	0.69304	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00161	35.77882	31.18595	676.41697
sim	36	1	3422084	2	0.25597	0.7747	-9.1809E-1	0.09306	0.76099	0.57601	0.03375	0.85464	100	0.00524	35.77882	31.18595	676.41697
sim	37	1	3478645	1	1.29336	0.25826	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01325	35.77882	31.18595	676.41697
sim	38	1	3535205	2	0.55722	0.57466	-2.2579E0	1.11191	0.29434	1.81419	0.64138	0.42521	100	0.01141	35.77882	31.18595	676.41697
sim	39	1	3591766	2	0.35538	0.70183	0.97183	0.62307	0.43188	-8.1637E-1	0.22948	0.63301	100	0.00728	35.77882	31.18595	676.41697
sim	40	1	3648326	2	0.38231	0.68333	0.42416	0.03885	0.84417	2.0015	0.59301	0.44317	100	0.00783	35.77882	31.18595	676.41697
sim	41	1	3704887	1	0.83332	0.3636	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00854	35.77882	31.18595	676.41697
sim	42	1	3784140	2	2.8878	0.0606	-7.1238E-1	0.14476	0.70445	4.47986	4.77031	0.03142	100	0.05916	35.77882	31.18595	676.41697
sim	43	1	3886086	2	0.02302	0.97724	-5.2523E-1	0.03392	0.85428	0.2804	0.00839	0.9272	100	4.7166E-4	35.77882	31.18595	676.41697
sim	44	1	3988033	2	0.35597	0.70143	-8.5844E-1	0.10866	0.7424	2.09982	0.57875	0.44869	100	0.00729	35.77882	31.18595	676.41697
sim	45	1	4089979	2	0.43226	0.65031	0.88781	0.33174	0.566	-7.5038E-1	0.17418	0.67737	100	0.00885	35.77882	31.18595	676.41697
sim	46	1	4191925	1	0.26303	0.60922	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00269	35.77882	31.18595	676.41697
sim	47	1	4293872	2	2.03745	0.13602	-4.0458E0	1.91166	0.17002	1.21358	0.1442	0.70499	100	0.04174	35.77882	31.18595	676.41697
sim	48	1	4395818	2	1.55675	0.21615	-5.6344E0	2.08845	0.15171	7.63611	3.10033	0.08149	100	0.03189	35.77882	31.18595	676.41697
sim	49	1	4471636	1	0.02284	0.88019	NaN	NaN	NaN	NaN	NaN	NaN	100	2.3395E-4	35.77882	31.18595	676.41697
sim	50	1	4521325	1	0.48375	0.48841	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00495	35.77882	31.18595	676.41697
sim	51	1	4571015	1	1.45605	0.23052	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01491	35.77882	31.18595	676.41697
sim	52	1	4620704	1	0.0176	0.89473	NaN	NaN	NaN	NaN	NaN	NaN	100	1.8027E-4	35.77882	31.18595	676.41697
sim	53	1	4670394	2	0.70782	0.4953	2.34063	0.98207	0.32421	-3.2414E0	1.37579	0.24375	100	0.0145	35.77882	31.18595	676.41697
sim	54	1	4720084	2	1.37967	0.25666	2.26872	2.64772	0.10701	0.46062	0.07297	0.78765	100	0.02826	35.77882	31.18595	676.41697
sim	55	1	4769773	2	0.05451	0.94698	-9.0934E-1	0.10146	0.75078	-6.1179E-1	0.03713	0.84761	100	0.00112	35.77882	31.18595	676.41697
sim	56	1	4819463	2	1.18862	0.30913	3.03002	2.2041	0.14096	3.12242	1.77433	0.18603	100	0.02435	35.77882	31.18595	676.41697
sim	57	1	4869152	2	0.18204	0.83386	1.41756	0.12018	0.7296	0.24328	0.00313	0.95548	100	0.00373	35.77882	31.18595	676.41697
sim	58	1	4918842	2	0.26559	0.76732	1.53483	0.1518	0.6977	0.30754	0.00424	0.94825	100	0.00544	35.77882	31.18595	676.41697
sim	59	1	4968531	1	0.11421	0.73613	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00117	35.77882	31.18595	676.41697
sim	60	1	5018221	2	2.09502	0.12872	-1.5738E0	1.17491	0.28114	3.41541	4.11465	0.04531	100	0.04292	35.77882	31.18595	676.41697
sim	61	1	5067911	2	0.06366	0.93836	-6.9775E-1	0.0561	0.81328	-1.4905E-1	0.00229	0.9619	100	0.0013	35.77882	31.18595	676.41697
sim	62	1	5117600	2	2.43566	0.09299	6.15312	4.63483	0.03386	-4.2508E0	1.73607	0.19081	100	0.04989	35.77882	31.18595	676.41697
sim	63	1	5167290	2	0.42346	0.65601	0.359	0.07401	0.78618	1.38307	0.83826	0.36221	100	0.00867	35.77882	31.18595	676.41697
sim	64	1	5216979	1	4.22684	0.0425	NaN	NaN	NaN	NaN	NaN	NaN	100	0.04329	35.77882	31.18595	676.41697
sim	65	1	5266669	2	1.04808	0.35463	5.95113	2.09541	0.15103	5.50432	1.57911	0.21197	100	0.02147	35.77882	31.18595	676.41697
sim	66	1	5316358	2	1.21006	0.30273	-6.1883E0	2.25844	0.13621	4.93404	1.29055	0.2588	100	0.02479	35.77882	31.18595	676.41697
sim	67	1	5366048	2	1.21453	0.30142	0.61451	0.20957	0.64815	2.03068	1.68424	0.1975	100	0.02488	35.77882	31.18595	676.41697
sim	68	1	5415738	2	0.14517	0.86507	1.0827	0.26396	0.60861	1.22783	0.21905	0.64083	100	0.00297	35.77882	31.18595	676.41697
sim	69	1	5465427	2	0.24953	0.77967	-1.1397E0	0.14468	0.70452	2.20562	0.44162	0.50795	100	0.00511	35.77882	31.18595	676.41697
sim	70	1	5515117	2	3.92152	0.0231	7.29324	6.35384	0.01338	4.05384	1.55748	0.2151	100	0.08033	35.77882	31.18595	676.41697
sim	71	1	5564806	2	1.05742	0.3514	-2.3354E0	1.94961	0.16588	0.75392	0.15481	0.69486	100	0.02166	35.77882	31.18595	676.41697
sim	72	1	5625467	2	0.0741	0.92863	-4.8907E-1	0.09425	0.75952	-6.2191E-2	0.00106	0.9741	100	0.00152	35.77882	31.18595	676.41697
sim	73	1	5697098	1	0.01322	0.90871	NaN	NaN	NaN	NaN	NaN	NaN	100	1.3538E-4	35.77882	31.18595	676.41697
sim	74	1	5768729	2	0.84383	0.43326	-9.5562E-1	0.36339	0.54806	-2.5008E0	1.66934	0.19948	100	0.01729	35.77882	31.18595	676.41697
sim	75	1	5840360	2	1.94277	0.14896	3.03417	3.69325	0.05763	-2.1527E0	1.4852	0.22598	100	0.0398	35.77882	31.18595	676.41697
sim	76	1	5911991	2	0.30549	0.73748	1.8215	0.39153	0.53299	2.55305	0.61018	0.43666	100	0.00626	35.77882	31.18595	676.41697
sim	77	1	5983623	2	0.43206	0.65044	-1.2502E0	0.8609	0.35584	-3.8894E-1	0.05357	0.81746	100	0.00885	35.77882	31.18595	676.41697
sim	78	1	6055254	2	1.06588	0.34851	-3.6528E0	0.84485	0.36034	-1.0603E0	0.06387	0.80103	100	0.02183	35.77882	31.18595	676.41697
sim	79	1	6126885	2	0.66371	0.51731	-1.169E0	0.66593	0.41651	0.79665	0.22813	0.63401	100	0.0136	35.77882	31.18595	676.41697
sim	80	1	6198516	2	0.02878	0.97164	-2.9975E-1	0.0534	0.81774	-9.1023E-2	0.00348	0.9531	100	5.895E-4	35.77882	31.18595	676.41697
sim	81	1	6284826	2	1.54975	0.21762	0.6404	0.04607	0.83051	4.07145	1.48661	0.22576	100	0.03175	35.77882	31.18595	676.41697
sim	82	1	6385813	2	0.02904	0.97138	-1.0298E-1	0.00294	0.95686	0.48997	0.05206	0.82001	100	5.9498E-4	35.77882	31.18595	676.41697
sim	83	1	6486801	2	5.70493	0.00457	7.52961	11.24725	0.00115	5.19774	4.34335	0.03984	100	0.11687	35.77882	31.18595	676.41697
sim	84	1	6587788	2	0.2072	0.81322	0.69361	0.28792	0.59281	-4.3205E-1	0.08383	0.7728	100	0.00424	35.77882	31.18595	676.41697
sim	85	1	6688776	1	0.39031	0.53362	NaN	NaN	NaN	NaN	NaN	NaN	100	0.004	35.77882	31.18595	676.41697
sim	86	1	6789763	2	1.99882	0.14115	7.68461	3.97775	0.04897	6.68837	2.68807	0.10441	100	0.04095	35.77882	31.18595	676.41697
sim	87	1	6890751	2	7.08428	0.00136	4.2873	12.40689	6.5937E-4	2.52679	2.60608	0.10977	100	0.14512	35.77882	31.18595	676.41697
sim	88	1	6991738	2	0.4141	0.66212	1.18859	0.82542	0.3659	0.30929	0.03752	0.84682	100	0.00848	35.77882	31.18595	676.41697
sim	89	1	7092726	1	6.0316	0.01585	NaN	NaN	NaN	NaN	NaN	NaN	100	0.06178	35.77882	31.18595	676.41697
sim	90	1	7193713	1	0.7033	0.40376	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0072	35.77882	31.18595	676.41697
sim	91	1	7298970	1	0.08349	0.77324	NaN	NaN	NaN	NaN	NaN	NaN	100	8.5518E-4	35.77882	31.18595	676.41697
sim	92	1	7404228	2	0.10452	0.90086	0.59034	0.19303	0.6614	0.23232	0.02356	0.87834	100	0.00214	35.77882	31.18595	676.41697
sim	93	1	7509485	2	1.51287	0.22554	-2.1326E0	2.94155	0.08959	0.93715	0.36196	0.54885	100	0.03099	35.77882	31.18595	676.41697
sim	94	1	7614742	1	0.26549	0.60756	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00272	35.77882	31.18595	676.41697
sim	95	1	7719999	2	2.15484	0.12155	5.3759	3.41955	0.06754	-2.4365E0	0.62423	0.43145	100	0.04414	35.77882	31.18595	676.41697
sim	96	1	7825257	2	1.54896	0.21779	-3.1765E0	1.19828	0.27643	-1.3094E-1	0.00168	0.96739	100	0.03173	35.77882	31.18595	676.41697
sim	97	1	7930514	2	0.52675	0.59224	-2.2858E0	0.89395	0.34681	2.65854	0.92494	0.33862	100	0.01079	35.77882	31.18595	676.41697
sim	98	1	8035771	2	0.50075	0.60766	0.21578	0.03134	0.85986	-1.5557E0	0.97328	0.32637	100	0.01026	35.77882	31.18595	676.41697
sim	99	1	8141028	2	1.26732	0.2863	3.03838	1.09996	0.29694	-3.3838E-1	0.01105	0.91649	100	0.02596	35.77882	31.18595	676.41697
sim	100	1	8246286	2	1.55409	0.21671	-3.016E0	3.00656	0.08617	1.76859	0.6364	0.42701	100	0.03184	35.77882	31.18595	676.41697
sim	101	1	8351543	2	1.406	0.25018	-1.4485E0	1.1728	0.28157	-2.6318E0	2.45699	0.12033	100	0.0288	35.77882	31.18595	676.41697
sim	102	1	8421469	2	1.17832	0.31225	4.443	2.25317	0.13666	-4.0529E0	1.7998	0.18294	100	0.02414	35.77882	31.18595	676.41697
sim	103	1	8489863	2	2.07746	0.1309	2.46753	2.24124	0.13769	-3.9318E0	3.97923	0.04893	100	0.04256	35.77882	31.18595	676.41697
sim	104	1	8558256	2	0.9586	0.38711	2.25321	1.0927	0.29853	0.30108	0.01125	0.91576	100	0.01964	35.77882	31.18595	676.41697
sim	105	1	8640669	2	1.19443	0.30738	-2.336E0	1.17476	0.28117	0.76283	0.06993	0.79201	100	0.02447	35.77882	31.18595	676.41697
sim	106	1	8723082	2	1.62928	0.2015	-2.8882E0	2.62858	0.10827	-4.5087E-1	0.0573	0.81133	100	0.03338	35.77882	31.18595	676.41697
sim	107	1	8805495	2	1.81113	0.16907	-4.0316E0	1.91057	0.17014	-1.0917E0	0.11828	0.73167	100	0.0371	35.77882	31.18595	676.41697
sim	108	1	8887909	2	1.2005	0.30557	4.49891	2.3728	0.12679	-3.9513E0	1.72095	0.19273	100	0.02459	35.77882	31.18595	676.41697
sim	109	1	8970322	2	2.27502	0.10837	3.8828	4.54169	0.03566	2.7963	1.81424	0.1812	100	0.0466	35.77882	31.18595	676.41697
sim	110	2	9052735	2	1.33803	0.26726	-2.9245E0	1.05665	0.30659	0.32119	0.00982	0.92128	100	0.02741	35.77882	31.18595	676.41697
sim	111	2	9152449	2	0.63776	0.53072	1.47668	1.19049	0.27799	0.61593	0.1463	0.70296	100	0.01306	35.77882	31.18595	676.41697
sim	112	2	9252164	2	0.15889	0.85331	-1.1569E0	0.08722	0.76838	-2.0695E0	0.23915	0.62595	100	0.00325	35.77882	31.18595	676.41697
sim	113	2	9314887	2	0.15953	0.85277	-8.9404E-1	0.18946	0.66435	0.12876	0.00311	0.95562	100	0.00327	35.77882	31.18595	676.41697
sim	114	2	9336056	2	2.92592	0.05846	-6.9466E-1	0.02964	0.86368	4.40038	1.03083	0.31254	100	0.05994	35.77882	31.18595	676.41697
sim	115	2	9357225	2	0.20451	0.81541	-1.1182E0	0.3881	0.53479	-5.5429E-1	0.07536	0.78429	100	0.00419	35.77882	31.18595	676.41697
sim	116	2	9378393	2	2.59727	0.07976	3.19813	1.22346	0.27148	-2.5103E0	0.40957	0.52373	100	0.05321	35.77882	31.18595	676.41697
sim	117	2	9399562	2	0.03548	0.96516	-3.7893E-2	8.2156E-4	0.97719	-4.1315E-1	0.06974	0.79229	100	7.2676E-4	35.77882	31.18595	676.41697
sim	118	2	9420731	2	0.36259	0.69683	-1.7451E0	0.70106	0.40453	-1.6713E0	0.48177	0.48931	100	0.00743	35.77882	31.18595	676.41697
sim	119	2	9441900	1	0.02463	0.87563	NaN	NaN	NaN	NaN	NaN	NaN	100	2.5225E-4	35.77882	31.18595	676.41697
sim	120	2	9463068	2	1.51519	0.22503	-2.2686E0	1.90794	0.17043	3.26116	2.67066	0.10552	100	0.03104	35.77882	31.18595	676.41697
sim	121	2	9484237	2	0.22145	0.80177	1.91615	0.23423	0.62952	2.82039	0.41565	0.52067	100	0.00454	35.77882	31.18595	676.41697
sim	122	2	9728947	2	1.02897	0.36132	2.73694	2.03813	0.15668	-1.7527E0	0.70377	0.40363	100	0.02108	35.77882	31.18595	676.41697
sim	123	2	9973657	2	0.00916	0.99088	-1.3714E-1	0.00115	0.973	0.38289	0.00831	0.92755	100	1.8775E-4	35.77882	31.18595	676.41697
sim	124	2	10144516	2	1.10847	0.33429	-3.0355E-1	0.00565	0.94023	2.78155	0.41594	0.52052	100	0.02271	35.77882	31.18595	676.41697
sim	125	2	10240686	2	0.21425	0.80753	-1.4134E0	0.42815	0.51448	1.14627	0.19537	0.65949	100	0.00439	35.77882	31.18595	676.41697
sim	126	2	10336856	2	0.09679	0.90784	-1.4371E-1	0.00629	0.93697	0.83443	0.15731	0.69254	100	0.00198	35.77882	31.18595	676.41697
sim	127	2	10433026	2	3.16983	0.04649	1.99931	0.48941	0.4859	-6.8354E0	4.30615	0.04068	100	0.06493	35.77882	31.18595	676.41697
sim	128	2	10529196	1	0.21956	0.64044	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00225	35.77882	31.18595	676.41697
sim	129	2	10625367	2	1.63833	0.19975	5.13942	3.14737	0.07925	5.43398	2.58563	0.11116	100	0.03356	35.77882	31.18595	676.41697
sim	130	2	10721537	2	1.73339	0.18223	-7.19E0	3.4464	0.06649	-6.4438E0	2.49517	0.11752	100	0.03551	35.77882	31.18595	676.41697
sim	131	2	10817707	2	0.29967	0.74176	1.99071	0.49658	0.48273	1.10447	0.12473	0.72474	100	0.00614	35.77882	31.18595	676.41697
sim	132	2	10913877	2	0.11857	0.88832	0.09113	9.4864E-4	0.97549	-1.0446E0	0.10686	0.74446	100	0.00243	35.77882	31.18595	676.41697
sim	133	2	11013433	2	2.51795	0.08599	3.33976	1.87858	0.17373	0.86092	0.09045	0.76427	100	0.05158	35.77882	31.18595	676.41697
sim	134	2	11116374	2	0.28815	0.7503	0.98356	0.56547	0.45392	0.09499	0.00358	0.95242	100	0.0059	35.77882	31.18595	676.41697
sim	135	2	11219316	2	1.68127	0.19163	3.15189	2.7878	0.09828	-3.681E0	2.78241	0.0986	100	0.03444	35.77882	31.18595	676.41697
sim	136	2	11322257	2	2.17599	0.11912	3.31262	2.41032	0.12386	0.01788	4.8026E-5	0.99449	100	0.04458	35.77882	31.18595	676.41697
sim	137	2	11425199	2	0.36227	0.69705	-2.4064E0	0.68662	0.40939	2.42524	0.63964	0.42583	100	0.00742	35.77882	31.18595	676.41697
sim	138	2	11528140	2	1.96181	0.14626	-4.3496E-1	0.01164	0.91431	4.64125	1.0443	0.30942	100	0.04019	35.77882	31.18595	676.41697
sim	139	2	11631082	2	0.60968	0.54564	-2.4929E0	1.04211	0.30992	1.17941	0.20158	0.65447	100	0.01249	35.77882	31.18595	676.41697
sim	140	2	11734023	2	0.24978	0.77948	-8.1224E-1	0.34753	0.55692	-2.6155E-1	0.02629	0.87154	100	0.00512	35.77882	31.18595	676.41697
sim	141	2	11836965	2	0.73406	0.48266	-2.6051E0	1.1379	0.2888	0.91603	0.11805	0.73192	100	0.01504	35.77882	31.18595	676.41697
sim	142	2	11939906	2	0.80508	0.45008	-1.5107E0	0.48405	0.48829	-9.4471E-1	0.14745	0.70184	100	0.01649	35.77882	31.18595	676.41697
sim	143	2	12042848	2	0.18603	0.83055	0.42653	0.02193	0.88258	-1.5677E0	0.23383	0.62981	100	0.00381	35.77882	31.18595	676.41697
sim	144	2	12145789	2	0.87408	0.42057	3.78403	1.68519	0.19738	4.02021	1.21572	0.27299	100	0.01791	35.77882	31.18595	676.41697
sim	145	2	12248731	2	1.31931	0.27217	-2.3232E0	0.36725	0.54595	-5.6381E0	1.76525	0.18715	100	0.02703	35.77882	31.18595	676.41697
sim	146	2	12338928	2	0.01214	0.98794	0.36703	0.00859	0.92637	0.07114	2.9345E-4	0.98637	100	2.486E-4	35.77882	31.18595	676.41697
sim	147	2	12429125	1	4.50395	0.03639	NaN	NaN	NaN	NaN	NaN	NaN	100	0.04613	35.77882	31.18595	676.41697
sim	148	2	12519321	2	0.21289	0.80863	-1.465E0	0.35159	0.55462	0.54523	0.0369	0.84807	100	0.00436	35.77882	31.18595	676.41697
sim	149	2	12609518	2	0.10045	0.90453	1.06658	0.20089	0.65502	-8.868E-1	0.11689	0.73319	100	0.00206	35.77882	31.18595	676.41697
sim	150	2	12699715	2	0.03519	0.96543	-3.4122E-1	0.06478	0.79964	-1.2588E-1	0.00682	0.93436	100	7.2097E-4	35.77882	31.18595	676.41697
sim	151	2	12789912	2	0.89679	0.4113	1.65321	1.32932	0.25182	1.04378	0.47228	0.49361	100	0.01837	35.77882	31.18595	676.41697
sim	152	2	12880109	2	0.26401	0.76853	-1.5557E0	0.39316	0.53215	0.44627	0.02594	0.87238	100	0.00541	35.77882	31.18595	676.41697
sim	153	2	12970306	1	3.33627	0.07088	NaN	NaN	NaN	NaN	NaN	NaN	100	0.03417	35.77882	31.18595	676.41697
sim	154	2	13060502	2	0.78489	0.4591	2.3446	1.00546	0.31854	-5.7072E-1	0.05056	0.82258	100	0.01608	35.77882	31.18595	676.41697
sim	155	2	13150699	2	0.84682	0.43199	-2.4202E0	1.06241	0.30528	-5.3779E-1	0.04547	0.83159	100	0.01735	35.77882	31.18595	676.41697
sim	156	2	13240896	2	1.66142	0.19534	6.92363	3.16737	0.07832	-7.14E0	2.95442	0.0889	100	0.03403	35.77882	31.18595	676.41697
sim	157	2	13331093	2	2.32586	0.10324	2.06481	2.80637	0.09718	-2.0808E0	1.86024	0.17582	100	0.04765	35.77882	31.18595	676.41697
sim	158	2	13421290	2	0.14399	0.86608	-8.2088E-1	0.28393	0.59538	0.21484	0.01639	0.89841	100	0.00295	35.77882	31.18595	676.41697
sim	159	2	13511487	2	1.5564	0.21622	-2.9431E0	2.22656	0.13897	-3.8719E0	2.47613	0.11891	100	0.03188	35.77882	31.18595	676.41697
sim	160	2	13601683	2	1.66742	0.19421	2.70638	1.58555	0.21105	-8.0934E-1	0.08462	0.77177	100	0.03416	35.77882	31.18595	676.41697
sim	161	2	13691880	2	1.36407	0.26058	2.19189	2.3612	0.12771	-2.1196E0	1.42625	0.23535	100	0.02794	35.77882	31.18595	676.41697
sim	162	2	13782077	2	0.25911	0.77228	0.54931	0.17235	0.67897	-9.1324E-1	0.32928	0.56744	100	0.00531	35.77882	31.18595	676.41697
sim	163	2	13872274	2	1.46287	0.23674	-1.6071E0	1.04744	0.3087	-3.1944E0	2.88756	0.09254	100	0.02997	35.77882	31.18595	676.41697
sim	164	2	13962471	2	1.78554	0.17329	2.2204	3.04338	0.0843	-1.3321E0	0.77027	0.38235	100	0.03658	35.77882	31.18595	676.41697
sim	165	2	14052668	2	0.08545	0.91817	-1.4571E0	0.13606	0.71305	-9.0747E-1	0.04156	0.83889	100	0.00175	35.77882	31.18595	676.41697
sim	166	2	14142864	2	0.39283	0.67623	0.08425	0.00131	0.97116	-1.6891E0	0.3959	0.53073	100	0.00805	35.77882	31.18595	676.41697
sim	167	2	14233061	2	1.86359	0.16074	2.65726	1.92323	0.16875	0.46095	0.0474	0.82812	100	0.03818	35.77882	31.18595	676.41697
sim	168	2	14323258	2	0.23946	0.78753	-2.9384E-1	0.05173	0.82057	-9.3174E-1	0.28907	0.59207	100	0.00491	35.77882	31.18595	676.41697
sim	169	2	14413455	2	0.59795	0.55199	-2.6878E0	1.1788	0.28035	-2.3657E0	0.62137	0.4325	100	0.01225	35.77882	31.18595	676.41697
sim	170	2	14503652	2	1.56833	0.21374	3.67109	1.69131	0.19657	0.18909	0.00329	0.95439	100	0.03213	35.77882	31.18595	676.41697
sim	171	2	14593849	2	1.56833	0.21374	-3.6711E0	1.69131	0.19657	0.18909	0.00329	0.95439	100	0.03213	35.77882	31.18595	676.41697
sim	172	2	14799189	2	2.59765	0.07973	-4.8676E0	5.19134	0.02494	3.70339	2.2087	0.14055	100	0.05321	35.77882	31.18595	676.41697
sim	173	2	15004541	2	2.26885	0.10901	-4.1077E0	2.92636	0.09041	0.318	0.01268	0.91058	100	0.04648	35.77882	31.18595	676.41697
sim	174	2	15095216	2	0.26102	0.77081	0.16568	0.00809	0.92854	1.27631	0.3946	0.5314	100	0.00535	35.77882	31.18595	676.41697
sim	175	2	15185892	2	0.07105	0.93146	-4.6528E-2	1.4482E-4	0.99042	0.72928	0.03158	0.85934	100	0.00146	35.77882	31.18595	676.41697
sim	176	2	15276567	2	0.99469	0.37365	1.4571	0.50585	0.47868	3.29422	1.90845	0.17038	100	0.02038	35.77882	31.18595	676.41697
sim	177	2	15367242	2	0.35794	0.70005	-3.2448E0	0.65432	0.4206	2.42172	0.26362	0.60884	100	0.00733	35.77882	31.18595	676.41697
sim	178	2	15457918	2	0.54138	0.58373	1.47899	0.47716	0.4914	-5.343E-1	0.04123	0.83952	100	0.01109	35.77882	31.18595	676.41697
